idx,question_普通模型,pred_普通模型,gold_普通模型,score_普通模型,em_普通模型,rouge1_普通模型,categories_普通模型,use_cot_普通模型,cot_type_普通模型,question_COT模型,pred_COT模型,gold_COT模型,score_COT模型,em_COT模型,rouge1_COT模型,categories_COT模型,use_cot_COT模型,cot_type_COT模型,score_diff
372,根据文件中第4页的示意图，如果上石墨板正常工作，那么其上方直接接触的部件是什么？,上金属板,上铜板,0.4285714285714286,0.0,0.5714285714285715,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第4页的示意图，如果上石墨板正常工作，那么其上方直接接触的部件是什么？,部件3,上铜板,0.0,0.0,0.0,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.4285714285714286
373,根据文件中第4页的示意图推断，为了保证结晶器结构的稳定，左石墨板和右石墨板通常与哪个部件直接相连？,左、右石墨板(1、2)与上、下石墨板(3、4)直接相连,上石墨板和下石墨板,0.3333333333333333,0.0,0.4444444444444444,"['部件识别', '功能作用', '指定页面']",False,unknown,根据文件中第4页的示意图推断，为了保证结晶器结构的稳定，左石墨板和右石墨板通常与哪个部件直接相连？,左石墨板和右石墨板,上石墨板和下石墨板,0.5833333333333334,0.0,0.7777777777777778,"['部件识别', '功能作用', '指定页面']",True,identification,-0.25000000000000006
374,根据专利文本，减震垫(101)的上方固定安装有什么部件？,第一电动伸缩杆(2),第一电动伸缩杆(2),1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系']",False,unknown,根据专利文本，减震垫(101)的上方固定安装有什么部件？,第一电动伸缩杆(2),第一电动伸缩杆(2),1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系']",True,position,0.0
375,根据文本信息，为了克服地下水浮力对沉井造成的影响，现有技术通常采用什么方法？,将沉井做厚并做重,将沉井管片做厚并做重,0.6666666666666667,0.0,0.888888888888889,['功能作用'],False,unknown,根据文本信息，为了克服地下水浮力对沉井造成的影响，现有技术通常采用什么方法？,将沉井做厚并做重,将沉井管片做厚并做重,0.6666666666666667,0.0,0.888888888888889,['功能作用'],False,other,0.0
376,在文件中第7页的图中，编号13指的是什么部件？,连接件,抗浮桩孔,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown,在文件中第7页的图中，编号13指的是什么部件？,部件10,抗浮桩孔,0.0,0.0,0.0,"['部件识别', '指定页面']",True,identification,0.0
377,在文件中第7页的图中，编号211的部件位于哪个更大的部件上？,部件21,管套,0.0,0.0,0.0,['指定页面'],False,unknown,在文件中第7页的图中，编号211的部件位于哪个更大的部件上？,部件21,管套,0.0,0.0,0.0,['指定页面'],False,other,0.0
378,在文件中第7页的图中，如果先安装了编号21的部件，接下来应该如何操作？,部件2,向管套21中灌注混凝土,0.10714285714285715,0.0,0.14285714285714288,"['连接关系', '指定页面']",False,unknown,在文件中第7页的图中，如果先安装了编号21的部件，接下来应该如何操作？,部件2,向管套21中灌注混凝土,0.10714285714285715,0.0,0.14285714285714288,"['连接关系', '指定页面']",False,other,0.0
379,根据文件中第7页的示意图，公止口11和母止口12相互配合，它们的相对位置关系是什么？,位于上方,母止口12包裹公止口11,0.0,0.0,0.0,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第7页的示意图，公止口11和母止口12相互配合，它们的相对位置关系是什么？,位于上方,母止口12包裹公止口11,0.0,0.0,0.0,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.0
380,根据文本信息，该附着点式收尘装置的主要目的是什么？,提供一种附着点式收尘装置,有效解决水泥转运过程中的扬尘问题,0.053571428571428575,0.0,0.07142857142857144,"['部件识别', '功能作用']",False,unknown,根据文本信息，该附着点式收尘装置的主要目的是什么？,提供一种附着点式收尘装置,有效解决水泥转运过程中的扬尘问题,0.053571428571428575,0.0,0.07142857142857144,"['部件识别', '功能作用']",True,identification,0.0
381,根据专利描述，与同类除尘系统相比，该装置的运行电耗可降低的范围是多少？,20%~60%,20%-60%,0.8928571428571428,1.0,0.8571428571428571,['数量相关'],False,unknown,根据专利描述，与同类除尘系统相比，该装置的运行电耗可降低的范围是多少？,20%~60%,20%-60%,0.8928571428571428,1.0,0.8571428571428571,['数量相关'],False,other,0.0
382,在文件中第7页的示意图中，编号为9的部件相对于编号为3的部件的位置关系是什么？,位于编号为3的部件的右侧,位于3的右下方,0.39473684210526316,0.0,0.5263157894736842,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页的示意图中，编号为9的部件相对于编号为3的部件的位置关系是什么？,位于部件3的右侧,位于3的右下方,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,-0.10526315789473684
383,在文件中第7页的示意图中，编号为11的部件相对于编号为9的部件的位置关系是什么？,位于右侧,位于9的右下方,0.40909090909090906,0.0,0.5454545454545454,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页的示意图中，编号为11的部件相对于编号为9的部件的位置关系是什么？,位于部件9的右侧,位于9的右下方,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,-0.09090909090909094
384,根据文件中第7页的示意图，物料从包装机传送带（1）开始，依次经过哪些部件到达整包传送带（12）？,包装机传送带（1）→包装机（2）→第一传送带（8）→第二传送带（9）→第三传送带（10）→第四传送带（11）→整包传送带（12）,进料输送带（2），顺包传送带（9），转包传送带（10），码包传送带（11）,0.41584158415841577,0.0,0.5544554455445544,['指定页面'],False,unknown,根据文件中第7页的示意图，物料从包装机传送带（1）开始，依次经过哪些部件到达整包传送带（12）？,包装机传送带（1）→包装机（2）→第一传送带（8）→第二传送带（9）→第三传送带（10）→第四传送带（11）→整包传送带（12）,进料输送带（2），顺包传送带（9），转包传送带（10），码包传送带（11）,0.41584158415841577,0.0,0.5544554455445544,['指定页面'],False,other,0.0
385,根据文件中第7页的示意图，灰斗（20）通过哪个部件与各个收尘点连接，从而收集灰尘？,输送主管(19),输送主管（19）,0.8125,1.0,0.75,"['部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第7页的示意图，灰斗（20）通过哪个部件与各个收尘点连接，从而收集灰尘？,输送主管(19),输送主管（19）,0.8125,1.0,0.75,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
386,根据专利文本，空压机变频控制节能柜系统的核心控制部件是什么？,控制柜,控制柜,1.0,1.0,1.0,['部件识别'],False,unknown,根据专利文本，空压机变频控制节能柜系统的核心控制部件是什么？,控制柜,控制柜,1.0,1.0,1.0,['部件识别'],True,identification,0.0
387,根据文本信息，餐厨垃圾处理器的工作箱上表面盖装有什么部件？,移动板,移动板,1.0,1.0,1.0,['部件识别'],False,unknown,根据文本信息，餐厨垃圾处理器的工作箱上表面盖装有什么部件？,移动板,移动板,1.0,1.0,1.0,['部件识别'],True,identification,0.0
388,在文件中第7页提供的图片中，编号为14的部件是什么？,连接板,连接板,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第7页提供的图片中，编号为14的部件是什么？,连接板,连接板,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
389,在文件中第7页提供的图片中，哪个部件位于工作箱（1）的底部？,底座(20),输出管（15）,0.0,0.0,0.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第7页提供的图片中，哪个部件位于工作箱（1）的底部？,支撑腿(19)和底座(20)位于工作箱(1)的底部,输出管（15）,0.046875,0.0,0.0625,"['位置关系', '部件识别', '指定页面']",True,position,-0.046875
390,观察文件中第7页的图片，液压缸（13）通过连接板（14）与哪个部件相连？,移动板(2),移动板（2）,0.75,1.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",False,unknown,观察文件中第7页的图片，液压缸（13）通过连接板（14）与哪个部件相连？,移动板(2),移动板（2）,0.75,1.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",True,identification,0.0
391,根据文件中第7页的图片，如果餐厨垃圾从输入框（16）进入，经过处理后，固体垃圾会被过滤板（未在图中直接标出）收集，那么液体垃圾最有可能从哪个部件排出？,输出管(15),输出管（15）,0.7857142857142857,1.0,0.7142857142857143,"['部件识别', '指定页面']",False,unknown,根据文件中第7页的图片，如果餐厨垃圾从输入框（16）进入，经过处理后，固体垃圾会被过滤板（未在图中直接标出）收集，那么液体垃圾最有可能从哪个部件排出？,输出管(15),输出管（15）,0.7857142857142857,1.0,0.7142857142857143,"['部件识别', '指定页面']",True,identification,0.0
392,根据专利文本，该节能环保型锅炉采用三炉胆设计的优势是什么？,可烧一胆、二胆或三胆同烧,使热量相互作用、相互隔热保温，并可根据需要选择烧一胆、二胆或三胆,0.3409090909090909,0.0,0.45454545454545453,['部件识别'],False,unknown,根据专利文本，该节能环保型锅炉采用三炉胆设计的优势是什么？,热量相互作用，相互隔热保温，可灵活选择炉胆组合,使热量相互作用、相互隔热保温，并可根据需要选择烧一胆、二胆或三胆,0.4636363636363636,0.0,0.6181818181818182,['部件识别'],True,identification,-0.12272727272727274
393,在文件中第5页的示意图中，部件4相对于部件5的位置关系是什么？,部件4位于部件5的左侧,部件4在部件5的左侧,0.6428571428571429,0.0,0.8571428571428572,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，部件4相对于部件5的位置关系是什么？,部件4位于部件5的左侧,部件4在部件5的左侧,0.6428571428571429,0.0,0.8571428571428572,"['位置关系', '部件识别', '指定页面']",True,position,0.0
394,在文件中第5页的示意图中，哪个部件直接位于水冷炉排（部件7）的上方？,内胆(6),一胆（部件4）,0.125,0.0,0.16666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，哪个部件直接位于水冷炉排（部件7）的上方？,部件2,一胆（部件4）,0.30000000000000004,0.0,0.4,"['位置关系', '部件识别', '指定页面']",True,position,-0.17500000000000004
395,根据文件中第5页的示意图，如果需要对锅炉进行保温处理，除了用部件11，还需要在炉胆的哪个地方做保温处理？,部件4,部件2，炉体,0.3333333333333333,0.0,0.4444444444444444,['指定页面'],False,unknown,根据文件中第5页的示意图，如果需要对锅炉进行保温处理，除了用部件11，还需要在炉胆的哪个地方做保温处理？,部件4,部件2，炉体,0.3333333333333333,0.0,0.4444444444444444,['指定页面'],False,other,0.0
396,根据文件中第5页的示意图，如果需要排放锅炉底部的污水，应该操作哪个部件？,部件9,部件9，排污管座,0.40909090909090906,0.0,0.5454545454545454,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第5页的示意图，如果需要排放锅炉底部的污水，应该操作哪个部件？,部件9位于部件8的下方,部件9，排污管座,0.23684210526315788,0.0,0.3157894736842105,"['位置关系', '部件识别', '指定页面']",True,position,0.17224880382775118
397,根据专利文本，该减震平台的主要应用场景是什么？,酒店的装修设计,高层酒店的装修设计,0.6562500000000001,0.0,0.8750000000000001,['部件识别'],False,unknown,根据专利文本，该减震平台的主要应用场景是什么？,设备减震,高层酒店的装修设计,0.11538461538461536,0.0,0.15384615384615383,['部件识别'],True,identification,0.5408653846153848
398,在文件中第5页的图中，部件9位于哪个部件的正上方？,部件2,部件2,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的图中，部件9位于哪个部件的正上方？,部件2,部件2,1.0,1.0,1.0,"['位置关系', '部件识别', '指定页面']",True,position,0.0
399,在文件中第5页的图中，部件10位于哪个部件的正下方？,部件2,部件5,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的图中，部件10位于哪个部件的正下方？,部件2,部件5,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",True,position,0.0
400,根据文件中第5页图示，部件6和部件7哪个是支撑台?,部件7,部件7,1.0,1.0,1.0,['指定页面'],False,unknown,根据文件中第5页图示，部件6和部件7哪个是支撑台?,部件7,部件7,1.0,1.0,1.0,['指定页面'],False,other,0.0
401,根据专利文本，医用耗材装配检测组件的核心功能是什么？,检测探头在物料作用下移动后的位置,检测医用耗材各个物料是否正确组装。,0.2272727272727273,0.0,0.30303030303030304,"['部件识别', '功能作用']",False,unknown,根据专利文本，医用耗材装配检测组件的核心功能是什么？,检测探头在物料作用下移动后的位置,检测医用耗材各个物料是否正确组装。,0.2272727272727273,0.0,0.30303030303030304,"['部件识别', '功能作用']",True,identification,0.0
402,根据文件中第8页的图片，检测部(410)相对于配合部(430)的位置关系是？,位于配合部(430)的上方,检测部(410)位于配合部(430)的上方。,0.5571428571428572,0.0,0.7428571428571429,"['位置关系', '连接关系', '指定页面']",False,unknown,根据文件中第8页的图片，检测部(410)相对于配合部(430)的位置关系是？,检测部(410)位于配合部(430)的上方,检测部(410)位于配合部(430)的上方。,0.9825581395348838,1.0,0.9767441860465117,"['位置关系', '连接关系', '指定页面']",True,position,-0.42541528239202664
403,根据文件中第8页的图片，活动孔(221)位于哪个部件上？,联动部(220),活动部(220),0.65625,0.0,0.875,"['部件识别', '指定页面']",False,unknown,根据文件中第8页的图片，活动孔(221)位于哪个部件上？,活动部(220),活动部(220),1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,-0.34375
404,根据文件中第8页图片，如果配合部(430)向上移动，首先会接触到哪个部件？,部件(221),活动部(220),0.5,0.0,0.6666666666666666,"['部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第8页图片，如果配合部(430)向上移动，首先会接触到哪个部件？,部件600,活动部(220),0.23076923076923078,0.0,0.3076923076923077,"['部件识别', '连接关系', '指定页面']",True,identification,0.2692307692307692
405,根据文件中第8页图片，如果驱动件(300)带动安装台(200)向下移动，配合部(430)与物料(600)接触后，哪个部件的位置会发生改变？,配合部(430),配合部(430)、主体部(420)和检测部(410),0.3529411764705882,0.0,0.47058823529411764,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第8页图片，如果驱动件(300)带动安装台(200)向下移动，配合部(430)与物料(600)接触后，哪个部件的位置会发生改变？,配合部(430)的位置会发生改变,配合部(430)、主体部(420)和检测部(410),0.28571428571428575,0.0,0.380952380952381,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.06722689075630245
406,在文件中第6页提供的图片中，编号为9的部件相对于输送机构(1)的位置是什么？,位于输送机构(1)的上方,位于输送机构的一侧,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页提供的图片中，编号为9的部件相对于输送机构(1)的位置是什么？,位于输送机构(1)的右侧,位于输送机构的一侧,0.5714285714285715,0.0,0.761904761904762,"['位置关系', '部件识别', '指定页面']",True,position,-0.07142857142857151
407,根据文件中第6页提供的图片，编号12的部件相对于编号6的部件位置是什么？,位于编号6的部件的左侧,位于其左侧,0.3750000000000001,0.0,0.5000000000000001,"['位置关系', '部件识别', '指定页面']",False,unknown,根据文件中第6页提供的图片，编号12的部件相对于编号6的部件位置是什么？,在左边,位于其左侧,0.1875,0.0,0.25,"['位置关系', '部件识别', '指定页面']",True,position,0.1875000000000001
408,根据文件中第6页的示意图，如果切割刀片（7）需要工作，那么在此之前，哪个部件需要先进行动作？,限位压板(13),限位压板（13）,0.8125,1.0,0.75,"['部件识别', '指定页面']",False,unknown,根据文件中第6页的示意图，如果切割刀片（7）需要工作，那么在此之前，哪个部件需要先进行动作？,限位压板(13),限位压板（13）,0.8125,1.0,0.75,"['部件识别', '指定页面']",True,identification,0.0
409,在文件中第6页的示意图中，如果铝基碳化硅材料完成切割并掉落，接下来铝基碳化硅材料会掉落在哪个部件中？,部件14,集料箱（14）,0.2727272727272727,0.0,0.36363636363636365,"['部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，如果铝基碳化硅材料完成切割并掉落，接下来铝基碳化硅材料会掉落在哪个部件中？,收集槽,集料箱（14）,0.15000000000000002,0.0,0.2,"['部件识别', '指定页面']",True,identification,0.12272727272727268
410,在文件中第6页的图1中，编号为6的部件（三角定位块）相对于编号为1的部件（底座支架）的位置关系是？,位于底座支架的后方,位于上方,0.34615384615384615,0.0,0.46153846153846156,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的图1中，编号为6的部件（三角定位块）相对于编号为1的部件（底座支架）的位置关系是？,位于部件1的右下方,位于上方,0.34615384615384615,0.0,0.46153846153846156,"['位置关系', '部件识别', '指定页面']",True,position,0.0
411,根据文件中第6页图1示，如果需要调整水平支架（3）的高度，可以通过调整哪个部件来实现？,三角定位块(6),支持杆件（5）,0.0,0.0,0.0,"['部件识别', '指定页面']",False,unknown,根据文件中第6页图1示，如果需要调整水平支架（3）的高度，可以通过调整哪个部件来实现？,水平支架(3),支持杆件（5）,0.10714285714285714,0.0,0.14285714285714285,"['部件识别', '指定页面']",True,identification,-0.10714285714285714
412,根据文件中第6页图1示，如果需要增强底座支架（1）和防护支架（2）之间的连接稳固性，除了三角定位块（6）外，还可以通过哪个部件进行辅助？,定位销轴,定位销轴连接（位于底座支架（1）和防护支架（2）之间的夹角处）,0.17142857142857143,0.0,0.2285714285714286,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第6页图1示，如果需要增强底座支架（1）和防护支架（2）之间的连接稳固性，除了三角定位块（6）外，还可以通过哪个部件进行辅助？,水平支架(3),定位销轴连接（位于底座支架（1）和防护支架（2）之间的夹角处）,0.07894736842105264,0.0,0.10526315789473685,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.09248120300751879
413,根据文本信息，该修理柜的柱体外侧壁上安装有什么结构？,预留槽,预留槽,1.0,1.0,1.0,['连接关系'],False,unknown,根据文本信息，该修理柜的柱体外侧壁上安装有什么结构？,预留槽,预留槽,1.0,1.0,1.0,['连接关系'],False,other,0.0
414,根据专利文本，支撑侧板本体的截面设计成什么形状，以便于输送线收纳布置？,C字形,G字形,0.5,0.0,0.6666666666666666,['其他'],False,unknown,根据专利文本，支撑侧板本体的截面设计成什么形状，以便于输送线收纳布置？,C字形,G字形,0.5,0.0,0.6666666666666666,['其他'],False,other,0.0
415,在文件中第7页提供的支撑侧板截面图中，编号为2的部件是什么？,第一螺栓连接槽,第一螺栓连接槽,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,在文件中第7页提供的支撑侧板截面图中，编号为2的部件是什么？,第一螺栓连接槽,第一螺栓连接槽,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
416,在文件中第7页提供的支撑侧板截面图中，哪个编号指向扣接槽？,5,5,1.0,1.0,1.0,['指定页面'],False,unknown,在文件中第7页提供的支撑侧板截面图中，哪个编号指向扣接槽？,5,5,1.0,1.0,1.0,['指定页面'],False,other,0.0
417,根据文件中第7页提供的支撑侧板截面图，滚筒安装槽(4)位于哪个部件的上方？,第二螺栓孔槽(3),支撑侧板本体(1),0.16666666666666666,0.0,0.2222222222222222,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第7页提供的支撑侧板截面图，滚筒安装槽(4)位于哪个部件的上方？,第二螺栓孔槽(3),支撑侧板本体(1),0.16666666666666666,0.0,0.2222222222222222,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.0
418,根据文件中第7页提供的支撑侧板截面图，如果需要使用备用螺栓槽（6），通常是因为哪个部件相应位置不便安装螺栓？,第二螺栓孔槽(3),第二螺栓孔槽(3),1.0,1.0,1.0,"['位置关系', '部件识别', '连接关系', '指定页面']",False,unknown,根据文件中第7页提供的支撑侧板截面图，如果需要使用备用螺栓槽（6），通常是因为哪个部件相应位置不便安装螺栓？,第一螺栓连接槽(2),第二螺栓孔槽(3),0.47368421052631576,0.0,0.631578947368421,"['位置关系', '部件识别', '连接关系', '指定页面']",True,position,0.5263157894736843
419,该专利旨在解决什么问题？,传动杆改进，连接顶弯式弯管机构动力部分，减轻重量，实现一机多用,使旋转式弯管机构能与顶弯式弯管机构的动力部分连接，实现一机多用,0.4838709677419355,0.0,0.6451612903225806,['其他'],False,unknown,该专利旨在解决什么问题？,传动杆改进，连接顶弯式弯管机构动力部分，减轻重量，实现一机多用,使旋转式弯管机构能与顶弯式弯管机构的动力部分连接，实现一机多用,0.4838709677419355,0.0,0.6451612903225806,['其他'],False,other,0.0
420,在旋转弯管机头中，哪个部件用于将直线运动转换为旋转运动？,齿轮,齿条,0.375,0.0,0.5,"['部件识别', '功能作用']",False,unknown,在旋转弯管机头中，哪个部件用于将直线运动转换为旋转运动？,齿条,齿条,1.0,1.0,1.0,"['部件识别', '功能作用']",True,identification,-0.625
421,在文件中第4页的附图中，销钉（编号2）相对于动力机构（编号1）的位置是：,位于动力机构的右侧,连接在动力机构上,0.3529411764705882,0.0,0.47058823529411764,"['位置关系', '指定页面']",False,unknown,在文件中第4页的附图中，销钉（编号2）相对于动力机构（编号1）的位置是：,销钉位于动力机构的右侧,连接在动力机构上,0.31578947368421056,0.0,0.4210526315789474,"['位置关系', '指定页面']",True,position,0.03715170278637764
422,在文件中第4页的附图中，齿轮(编号4)相对于模具轴（编号6）的位置是：,位于模具轴(6)的左侧,齿轮与模具轴同轴,0.23684210526315788,0.0,0.3157894736842105,"['位置关系', '指定页面']",False,unknown,在文件中第4页的附图中，齿轮(编号4)相对于模具轴（编号6）的位置是：,齿轮(4)位于模具轴(6)的左侧,齿轮与模具轴同轴,0.3125,0.0,0.4166666666666667,"['位置关系', '指定页面']",True,position,-0.07565789473684212
423,根据文件中第4页附图，如果动力机构（编号1）向右运动，齿条（编号3）会如何运动？,向右运动,齿条会向右运动,0.5454545454545454,0.0,0.7272727272727273,['指定页面'],False,unknown,根据文件中第4页附图，如果动力机构（编号1）向右运动，齿条（编号3）会如何运动？,向右运动,齿条会向右运动,0.5454545454545454,0.0,0.7272727272727273,['指定页面'],False,other,0.0
424,根据文件中第4页附图，齿条(编号3)与齿轮(编号4)啮合，并且销钉(编号2)连接动力机构(编号1)和齿条(编号3)，则如果移除销钉(编号2)，对弯管模具(编号5)会有什么直接影响？,弯管模具(编号5)将无法旋转,弯管模具将无法旋转,0.5869565217391305,0.0,0.782608695652174,"['连接关系', '指定页面']",False,unknown,根据文件中第4页附图，齿条(编号3)与齿轮(编号4)啮合，并且销钉(编号2)连接动力机构(编号1)和齿条(编号3)，则如果移除销钉(编号2)，对弯管模具(编号5)会有什么直接影响？,弯管模具(编号5)将无法转动,弯管模具将无法旋转,0.5217391304347826,0.0,0.6956521739130435,"['连接关系', '指定页面']",False,other,0.0652173913043479
425,根据专利文本，如果第一输送机(3)设计成输送多个口袋(2)，这些口袋(2)在输送方向(A)的横向并排设置，夹持器(6)应该如何设计？,同时拉出和放置该排中的所有口袋(2),夹持器(6)应设计成能够同时拉出和放置该排中的所有口袋(2)。,0.5510204081632654,0.0,0.7346938775510204,['其他'],False,unknown,根据专利文本，如果第一输送机(3)设计成输送多个口袋(2)，这些口袋(2)在输送方向(A)的横向并排设置，夹持器(6)应该如何设计？,同时拉出和放置该排中的所有口袋,夹持器(6)应设计成能够同时拉出和放置该排中的所有口袋(2)。,0.4891304347826087,0.0,0.6521739130434783,['其他'],True,position,0.06188997338065666
426,根据专利文本，该真空检漏装置旨在解决什么问题？,解决弯管不方便进行检漏的问题,解决弯管不方便进行检漏的问题。,0.9741379310344828,1.0,0.9655172413793104,['其他'],False,unknown,根据专利文本，该真空检漏装置旨在解决什么问题？,解决弯管不方便进行检漏的问题,解决弯管不方便进行检漏的问题。,0.9741379310344828,1.0,0.9655172413793104,['其他'],False,other,0.0
427,根据专利文本，五金制品压延装置中，哪个组件能够让压辊在机架中上下滑动，并具有自锁功能？,丝杆组件,丝杆组件,1.0,1.0,1.0,['功能作用'],False,unknown,根据专利文本，五金制品压延装置中，哪个组件能够让压辊在机架中上下滑动，并具有自锁功能？,丝杆组件,丝杆组件,1.0,1.0,1.0,['功能作用'],True,identification,0.0
428,根据专利文本，五金制品压延装置的基座上设置了哪些部件？,机架、挡板、柜门和支脚,挡板、柜门和支脚,0.6315789473684211,0.0,0.8421052631578948,['其他'],False,unknown,根据专利文本，五金制品压延装置的基座上设置了哪些部件？,机架、挡板、柜门和支脚,挡板、柜门和支脚,0.6315789473684211,0.0,0.8421052631578948,['其他'],False,other,0.0
429,在文件中第5页的五金制品压延装置的示意图中，编号12的部件相对于编号4的部件的位置是什么？,位于上方,位于编号4的上方,0.5,0.0,0.6666666666666666,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的五金制品压延装置的示意图中，编号12的部件相对于编号4的部件的位置是什么？,部件12位于部件4的左侧,位于编号4的上方,0.30000000000000004,0.0,0.4,"['位置关系', '部件识别', '指定页面']",True,position,0.19999999999999996
430,根据文件中第5页的示意图，如果压延的材料从进料口（编号10）进入，经过压延处理后，从出料口（编号11）出来，那么材料依次经过了哪些部件的接触？,进料口(10)、压延辊(1)、出料口(11),压辊（编号7）和支撑辊组件（编号4）,0.075,0.0,0.09999999999999999,"['连接关系', '指定页面']",False,unknown,根据文件中第5页的示意图，如果压延的材料从进料口（编号10）进入，经过压延处理后，从出料口（编号11）出来，那么材料依次经过了哪些部件的接触？,进料口(10)、压延辊(1)、出料口(11),压辊（编号7）和支撑辊组件（编号4）,0.075,0.0,0.09999999999999999,"['连接关系', '指定页面']",False,other,0.0
431,在文件中第5页的示意图中，如果需要调整压辊（编号7）与支撑辊组件（编号4）之间的间隙，应该操作哪个部件？,丝杆组件(9),丝杆组件（编号9）,0.4687500000000001,0.0,0.6250000000000001,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第5页的示意图中，如果需要调整压辊（编号7）与支撑辊组件（编号4）之间的间隙，应该操作哪个部件？,丝杆组件(9),丝杆组件（编号9）,0.4687500000000001,0.0,0.6250000000000001,"['位置关系', '部件识别', '指定页面']",True,position,0.0
432,在文件中第6页的示意图中，编号为2的部件相对于编号为1的部件的位置关系是？,位于部件1的下方,贯穿于1,0.25,0.0,0.3333333333333333,"['位置关系', '部件识别', '指定页面']",False,unknown,在文件中第6页的示意图中，编号为2的部件相对于编号为1的部件的位置关系是？,部件2位于部件1的右下方,贯穿于1,0.1875,0.0,0.25,"['位置关系', '部件识别', '指定页面']",True,position,0.0625
433,根据文件中第6页的示意图，编号为20的部件位于哪个部件的末端？,部件2,部件2,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,根据文件中第6页的示意图，编号为20的部件位于哪个部件的末端？,部件2,部件2,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
434,根据文件中第6页的示意图，如果需要加固钢筋挂网，焊接时应该将哪个部件与横向加强筋焊接？,纵向条,纵向条,1.0,1.0,1.0,"['部件识别', '指定页面']",False,unknown,根据文件中第6页的示意图，如果需要加固钢筋挂网，焊接时应该将哪个部件与横向加强筋焊接？,纵向条,纵向条,1.0,1.0,1.0,"['部件识别', '指定页面']",True,identification,0.0
435,根据文件中第6页的示意图，为了初步保护边坡土层表面结构，首先需要喷施哪个部件？,底层混凝土层11,底层混凝土层,0.6428571428571428,0.0,0.8571428571428571,"['部件识别', '功能作用', '指定页面']",False,unknown,根据文件中第6页的示意图，为了初步保护边坡土层表面结构，首先需要喷施哪个部件？,部件11,底层混凝土层,0.0,0.0,0.0,"['部件识别', '功能作用', '指定页面']",True,identification,0.6428571428571428
436,根据专利文本，本实用新型旨在解决什么问题？,提高数字印刷的生产效率，并有效避免物料损伤,提高印刷的生产效率，并可有效的避免损伤物料。,0.6627906976744187,0.0,0.8837209302325582,['其他'],False,unknown,根据专利文本，本实用新型旨在解决什么问题？,提高数字印刷的生产效率，并有效避免物料损伤,提高印刷的生产效率，并可有效的避免损伤物料。,0.6627906976744187,0.0,0.8837209302325582,['其他'],False,other,0.0
